[2026-07-09T09:52:59.678Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/index.html → 200 (?ms, 22344B)
[2026-07-09T09:52:59.682Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → pending (?ms, ?B)
[2026-07-09T09:52:59.682Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/steelhatch.png → 200 (?ms, 31280B)
[2026-07-09T09:52:59.682Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-1.svg → 200 (1ms, 320B)
[2026-07-09T09:52:59.682Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-2.svg → 200 (2ms, 417B)
[2026-07-09T09:52:59.682Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-3.svg → 200 (2ms, 436B)
[2026-07-09T09:52:59.682Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-4.svg → 200 (3ms, 298B)
[2026-07-09T09:52:59.682Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/binance.png → 200 (4ms, 16680B)
[2026-07-09T09:52:59.682Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/xapo.png → 200 (4ms, 23770B)
[2026-07-09T09:52:59.682Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/primexm.png → 200 (4ms, 17233B)
[2026-07-09T09:52:59.682Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/hsbc.svg → 200 (5ms, 1885B)
[2026-07-09T09:52:59.682Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/onezero.svg → pending (?ms, ?B)
[2026-07-09T09:52:59.682Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/wise.svg → 200 (5ms, 1488B)
[2026-07-09T09:53:02.522Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2 → 200 (135ms, 37956B)
[2026-07-09T09:53:02.522Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dMIFZifjKcF5UAWdDRaPpZUFWaHg.woff2 → 200 (130ms, 16724B)
[2026-07-09T09:53:02.522Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/dollar-bill.jpg → 200 (?ms, 392478B)
[2026-07-09T09:53:06.654Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/index.html → 200 (1ms, 22344B)
[2026-07-09T09:53:06.659Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → 200 (2ms, 13850B)
[2026-07-09T09:53:06.659Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/steelhatch.png → 200 (?ms, 31280B)
[2026-07-09T09:53:06.659Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-1.svg → 200 (1ms, 320B)
[2026-07-09T09:53:06.659Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-2.svg → 200 (1ms, 417B)
[2026-07-09T09:53:06.659Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-3.svg → 200 (2ms, 436B)
[2026-07-09T09:53:06.659Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-4.svg → 200 (2ms, 298B)
[2026-07-09T09:53:06.659Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/binance.png → 200 (4ms, 16680B)
[2026-07-09T09:53:06.659Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/xapo.png → 200 (4ms, 23770B)
[2026-07-09T09:53:06.659Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/primexm.png → 200 (4ms, 17233B)
[2026-07-09T09:53:06.659Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/hsbc.svg → 200 (5ms, 1885B)
[2026-07-09T09:53:06.659Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/onezero.svg → pending (?ms, ?B)
[2026-07-09T09:53:06.659Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/wise.svg → 200 (5ms, 1488B)
[2026-07-09T09:53:06.666Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2 → 200 (7ms, 37956B)
[2026-07-09T09:53:06.666Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dMIFZifjKcF5UAWdDRaPpZUFWaHg.woff2 → 200 (8ms, 16724B)
[2026-07-09T09:53:06.673Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/dollar-bill.jpg → 200 (1ms, 392478B)
